,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
153,11.51306737,45.06432282,2.11951785,14.81213301,0.000126725,4.757,201.53625
154,11.69069849,44.11853905,1.947995327,13.7938294,0.00012038,4.728,213.635
155,11.59044173,43.04155595,1.92046021,13.98782224,0.000115955,4.728,213.635
156,11.61842338,41.61216593,2.022528935,14.81201352,0.000109342,4.582,223.09875
157,11.71793148,43.17856293,2.009871132,14.42824773,0.000106609,4.582,223.09875
158,8.955480335,41.33048551,2.201259945,16.13235752,0.000104456,4.469,300.18375
159,9.49116355,39.29163308,2.255657191,16.44452882,0.000100316,4.469,300.18375
160,9.975784378,39.81958619,2.924811416,19.92339323,9.22E-05,4.371,292.885
161,10.41156857,40.391778,2.976086621,19.53637097,9.35E-05,4.371,292.885
162,10.69145638,39.89663214,3.106635994,19.60800549,9.18E-05,4.392,262.6275
163,10.82838824,40.93297584,3.005691194,19.6243015,9.56E-05,4.392,262.6275
164,10.75076036,40.05090423,2.511814525,15.08332302,9.39E-05,4.343,260.91875
165,10.55993329,39.25470356,2.527568885,15.46830581,9.34E-05,4.343,260.91875
166,10.53753793,39.7615694,1.991242955,10.56759413,9.61E-05,4.1,261.4675
167,10.83364099,39.70869784,1.963557636,10.85429561,9.80E-05,4.1,261.4675
168,11.16895491,40.72378155,1.038134243,5.453523433,0.000100965,3.658,277.72625
169,11.33163604,40.84970328,1.050986183,5.572800929,0.000104195,3.658,277.72625
170,11.92921413,41.99262587,0.664232953,4.834361628,0.000111933,3.146,267.55375
171,12.53341407,43.99846625,0.667703129,4.708951599,0.000117312,3.146,267.55375
172,12.79516943,44.1605332,0.928920121,8.169888148,0.000120384,2.75,245.37375
173,12.77096417,45.39935256,0.956270525,8.225274652,0.000125017,2.75,245.37375
174,12.44578818,43.75094292,1.673039182,14.058356,0.000119771,2.387,266.79375
175,12.78750527,43.51750097,1.663668293,14.12134012,0.000120484,2.387,266.79375
176,13.02271842,43.7937691,2.522656461,21.1705001,0.00012199,2.128,319.905
177,12.24467877,41.31561741,2.625477007,21.11172596,0.000120728,2.128,319.905
178,11.63039006,37.7733193,3.678859516,27.76051667,0.000106461,2.052,422.29125
